Rank,Title,Overall,Country,Region,Academic Reputation,Citations per Faculty,Faculty Student Ratio,Employer Reputation,International Student Ratio,International Research Network,International Faculty Ratio,Sustainabilty,FemaleStudentRatio,GDPperCapita,ImageLink
513,Imam Abdulrahman Bin Faisal University (IAU),23.7,Saudi Arabia,Asia,10.5,2.6,89.5,11.4,19.7,68.3,98.2,18.4,54,73.39639355,https://www.topuniversities.com/sites/default/files/imam-abdulrahman-bin-faisal-university-iau-formerly-university-of-dammam_592560cf2aeae70239af57b7_small.jpg
514,Prince Mohammad Bin Fahd university,23.7,Saudi Arabia,Asia,20.3,27.8,23.1,23,18.8,23.3,100,1.2,54,73.39639355,https://www.topuniversities.com/sites/default/files/prince-mohammad-bin-fahd-university_592560df9988f300e2320a8a_small.jpg
515,University of Milano-Bicocca,23.7,Italy,Europe,20.4,54.1,3.3,10.9,4.3,81.1,3.5,14.8,54,72.96288444,https://www.topuniversities.com/sites/default/files/university-of-milano-bicocca_14336_small.jpg
516,Ateneo de Manila University,23.6,Philippines,Asia,21.4,1.8,24.4,64.5,2.5,23,2.9,15.6,52,26.75310693,https://www.topuniversities.com/sites/default/files/ateneo-de-manila-university_592560cf2aeae70239af4aa1_small.jpg
517,Edith Cowan University ,23.6,Australia,Oceania,8.5,49.8,4.8,6.8,57.7,64.5,78.5,5.8,54,86.09321752,https://www.topuniversities.com/sites/default/files/edith-cowan-university_841_small.jpg
518,INTI International University,23.6,Malaysia,Asia,7.7,1.7,89.1,19.9,92.9,7,95.4,1.1,54,51.26186439,https://www.topuniversities.com/sites/default/files/inti-international-university-colleges_592560e49988f300e2321830_small.jpg
519,Kyungpook National University,23.6,South Korea,Asia,11.1,20.5,66.9,16.7,25.7,52,11.1,60.6,54,71.9896875,https://www.topuniversities.com/sites/default/files/kyungpook-national-university_592560cf2aeae70239af4bd0_small.jpg
520,Sabanci University,23.6,Türkiye,Asia,19.5,19.4,38.2,44.6,14.2,25.9,32,7.9,54,NA,https://www.topuniversities.com/sites/default/files/sabanci-university_542_small.jpg
521,University of Hull,23.6,United Kingdom,Europe,8.9,21.5,14.3,4.5,81.5,76.9,63.3,68,56,78.90086953,https://www.topuniversities.com/sites/default/files/240314033354pm534974UoH-Primary-Brandmark-CMYK-48x48.jpg
522,Ural Federal University - UrFU,23.6,Russia,Europe,19.6,2.1,95.5,14.2,25.3,86.6,5.4,12.7,54,56.86751092,https://www.topuniversities.com/sites/default/files/ural-federal-university-urfu_592560cf2aeae70239af505a_small.jpg
523,Canadian University Dubai,23.5,United Arab Emirates,Asia,20.1,2.7,33.5,19.9,100,14,100,1.6,54,80.86161721,https://www.topuniversities.com/sites/default/files/canadian-university-dubai_592560e09988f300e2320c17_small.jpg
524,Pusan National University,23.4,South Korea,Asia,18.7,19.5,43.5,16.5,13.7,57.7,10.5,65,55,71.9896875,https://www.topuniversities.com/sites/default/files/pusan-national-university_511_small.jpg
525,Universidad Austral,23.4,Argentina,Latin America,20.9,1.9,79.7,36.2,7.5,10.2,2.7,1.3,54,54.82965427,https://www.topuniversities.com/sites/default/files/universidad-austral_38_small.jpg
526,Coventry University,23.3,United Kingdom,Europe,9.9,7.1,16.9,10.4,99.9,82.6,77,64.4,48,78.90086953,https://www.topuniversities.com/sites/default/files/coventry-university_592560cf2aeae70239af4b16_small.jpg
527,Universität Jena,23.3,Germany,Europe,17.2,8.8,99.9,5.7,20.2,94.7,NA,13.1,54,80.39040908,https://www.topuniversities.com/sites/default/files/universitt-jena_592560cf2aeae70239af4bb5_small.jpg
528,Missouri University of Science and Technology,23.2,United States,North America,4,86.2,5.7,6.1,12.8,30.5,35.2,1.7,24,89.24293274,https://www.topuniversities.com/sites/default/files/missouri-university-of-science-and-technology_592560cf2aeae70239af51e4_small.jpg
529,University of Bayreuth,23.2,Germany,Europe,10.2,25.8,50.3,15.7,21.2,75.1,54.8,11.3,46,80.39040908,https://www.topuniversities.com/sites/default/files/university-of-bayreuth_592560cf2aeae70239af4ab4_small.jpg
530,Universität  Leipzig,23.2,Germany,Europe,23.5,8.4,74.8,9.7,14.2,84.3,NA,21.3,54,80.39040908,https://www.topuniversities.com/sites/default/files/universitt-leipzig_341_small.jpg
531,Warsaw University of Technology,23.2,Poland,Europe,23.3,4.7,42.6,51.9,10.3,60.6,2.4,1.4,32,59.99969104,https://www.topuniversities.com/sites/default/files/warsaw-university-of-technology_592560cf2aeae70239af4d1a_small.jpg
532,Indian Institute of Technology BHU Varanasi (IIT BHU Varanasi),23.1,India,Asia,5.5,95,3.9,5.9,1.1,24.5,1.4,10.1,54,18.52273058,https://www.topuniversities.com/sites/default/files/iit-bhu-varanasi_592560e59988f300e2321c55_small.jpg
533,University of Bradford,23.1,United Kingdom,Europe,9.1,21.7,6.8,7.1,97.6,66,68.5,40.7,57,78.90086953,https://www.topuniversities.com/sites/default/files/university-of-bradford_592560cf2aeae70239af4ac5_small.jpg
534,University of Utah,23.1,United States,North America,15.7,30.5,50,6.3,10.3,80.5,15.5,24.5,50,89.24293274,https://www.topuniversities.com/sites/default/files/university-of-utah_645_small.jpg
535,Universidad Nacional de La Plata (UNLP),23,Argentina,Latin America,40.8,1.9,28.4,19.2,22.6,55.4,5.3,2.2,54,54.82965427,https://www.topuniversities.com/sites/default/files/universidad-nacional-de-la-plata-unlp_1690_small.jpg
536,Lahore University of Management Sciences (LUMS),22.9,Pakistan,Asia,17.2,7.4,27.1,73.2,1.8,19.5,12.2,1.1,54,9.699987771,https://www.topuniversities.com/sites/default/files/lahore-university-of-management-sciences-lums_592560cf2aeae70239af531b_small.jpg
537,Northumbria University at Newcastle,22.9,United Kingdom,Europe,10.9,15.8,11.8,10.8,56.2,78.4,70.7,75.3,54,78.90086953,https://www.topuniversities.com/sites/default/files/northumbria-university-at-newcastle_592560cf2aeae70239af4c4b_small.jpg
538,University of Bordeaux,22.9,France,Europe,31.3,17.6,11.5,5.5,23.3,92.9,27.1,20.1,60,77.46249131,https://www.topuniversities.com/sites/default/files/university-of-bordeaux_1286_small.jpg
539,University of Eastern Finland,22.9,Finland,Europe,13.8,18.4,43.7,7.6,5.2,86.4,37.4,78.6,67,81.21874008,https://www.topuniversities.com/sites/default/files/university-of-eastern-finland_592560cf2aeae70239af4bcb_small.jpg
540,Applied Science University - Bahrain,22.8,Bahrain,Asia,23.5,2,39.3,25,46.8,13.3,100,1.7,54,69.83124022,https://www.topuniversities.com/sites/default/files/applied-science-university-of-bahrain_592560e29988f300e23211d4_small.jpg
541,Hitotsubashi University,22.8,Japan,Asia,14.4,2.1,30.8,73,20,7.5,19.8,1.1,33,73.04123134,https://www.topuniversities.com/sites/default/files/hitotsubashi-university-business-school-school-of-international-corporate-strategy_592560cf2aeae70239af4b8d_small.jpg
542,Sunway University,22.8,Malaysia,Asia,13,10.3,44,39.2,33.2,51.1,35.9,27.3,52,51.26186439,https://www.topuniversities.com/sites/default/files/sunway-university_592560cf2aeae70239af4db8_small.jpg
543,University of Salamanca,22.8,Spain,Europe,26.9,6.2,26,14.6,14.9,80,6.9,69.5,61,70.02244012,https://www.topuniversities.com/sites/default/files/university-of-salamanca_544_small.jpg
544,Université de Fribourg,22.8,Switzerland,Europe,10.3,25.4,7.5,3,38.3,58.3,99.9,51.8,54,93.52750603,https://www.topuniversities.com/sites/default/files/universit-de-fribourg_1603_small.jpg
545,Comillas Pontifical University,22.7,Spain,Europe,8.3,2.2,38.3,71.6,5,9,18.7,7.1,55,70.02244012,https://www.topuniversities.com/sites/default/files/241009094956am596302COMILLAS-300x300-48x48.jpg
546,Universidad de Zaragoza,22.7,Spain,Europe,21.3,7,56.1,5.1,9,89.5,4.5,77.1,54,70.02244012,https://www.topuniversities.com/sites/default/files/universidad-de-zaragoza_691_small.jpg
547,Northwestern Polytechnical University,22.6,China,Asia,5.8,63.8,44.8,3.2,5.2,53.4,16.7,2.4,25,52.76973633,https://www.topuniversities.com/sites/default/files/northwestern-polytechnical-university_592560cf2aeae70239af5255_small.jpg
548,Tashkent Institute of Irrigation and Agricultural Mechanization Engineers (TIIAME)-National Research University,22.6,Uzbekistan,Asia,30.6,2.2,79,19.9,4.1,8.6,26.3,9.5,54,17.87322128,https://www.topuniversities.com/sites/default/files/tashkent-institute-of-irrigation-and-agricultural-mechanization-engineers-tiiame_592560e59988f300e2321bd1_small.jpg
549,University of Genoa,22.6,Italy,Europe,18.8,43.7,12.7,4.9,9.2,81.2,5.4,39.5,58,72.96288444,https://www.topuniversities.com/sites/default/files/university-of-genoa_592560cf2aeae70239af4b62_small.jpg
550,University of Iceland,22.6,Iceland,Europe,6.8,6.7,99.9,2.5,10.3,73.5,25.7,5.9,68,88.86656962,https://www.topuniversities.com/sites/default/files/220317031202pm503917iceland-48x48.jpg
551,University of Windsor,22.6,Canada,North America,3.9,36.2,2.2,3.9,83.8,51.1,88.7,38.5,54,83.04588614,https://www.topuniversities.com/sites/default/files/university-of-windsor_592560cf2aeae70239af5162_small.jpg
552,Al Ain University,22.5,United Arab Emirates,Asia,22.6,5.9,13.4,15.7,100,27.5,100,5.2,54,80.86161721,https://www.topuniversities.com/sites/default/files/al-ain-university_592560e39988f300e2321680_small.jpg
553,University of Tabriz,22.5,Iran,Asia,5.9,81.7,3.4,5,6.8,71.8,1.5,1.2,52,30.89332457,https://www.topuniversities.com/sites/default/files/university-of-tabriz_592560cf2aeae70239af4e62_small.jpg
554,Hasselt University ,22.4,Belgium,Europe,5.8,15.4,82.1,3.3,25.3,69.6,74.2,26.8,54,80.92198385,https://www.topuniversities.com/sites/default/files/hasselt-university_1255_small.jpg
555,Jordan University of Science & Technology,22.4,Jordan,Asia,21,5.6,18.8,30.7,67.7,55.5,38.2,24.5,54,30.29852148,https://www.topuniversities.com/sites/default/files/jordan-university-of-science-technology_592560cf2aeae70239af545b_small.jpg
556,Universiti Utara Malaysia (UUM),22.4,Malaysia,Asia,22,8.2,38.8,25.4,79.3,34.1,19.4,5.3,54,51.26186439,https://www.topuniversities.com/sites/default/files/universiti-utara-malaysia-uum_388_small.jpg
557,Ulm University,22.4,Germany,Europe,7.4,31.2,78.5,5.5,21,61.1,39.6,2.1,51,80.39040908,https://www.topuniversities.com/sites/default/files/university-ulm_638_small.jpg
558,University of Dhaka,22.4,Bangladesh,Asia,23,2.9,11.2,45.6,1,52,1.6,11.8,50,21.28320627,https://www.topuniversities.com/sites/default/files/university-of-dhaka_158_small.jpg
559,Peter the Great St. Petersburg Polytechnic University,22.3,Russia,Europe,16,2.9,74.3,10.9,84,64.7,14.1,11.2,54,56.86751092,https://www.topuniversities.com/sites/default/files/peter-the-great-st.-petersburg-polytechnic-university_592560cf2aeae70239af52ed_small.jpg
560,Ulster University,22.3,United Kingdom,Europe,8.1,11.5,9.6,11.3,77.6,73.4,99.8,62.2,56,78.90086953,https://www.topuniversities.com/sites/default/files/ulster-university_1641_small.jpg
561,Umm Al-Qura University,22.3,Saudi Arabia,Asia,20.7,2.2,54.7,12.8,16,59.7,100,3.1,53,73.39639355,https://www.topuniversities.com/sites/default/files/230327012758pm283863UMM-AL-QURA-logo-200x200-48x48.jpg
562,Universiti Teknologi Brunei,22.2,Brunei,Asia,15.4,9.9,88.5,6.3,5.8,15.9,100,1.4,45,NA,https://www.topuniversities.com/sites/default/files/universiti-teknologi-brunei_592560e49988f300e23219b2_small.jpg
563,Université Claude Bernard Lyon 1,22.2,France,Europe,18.1,48.3,7.9,3.7,12,93.7,7.4,11,54,77.46249131,https://www.topuniversities.com/sites/default/files/universit-claude-bernard-lyon-1_373_small.jpg
564,Eötvös Loránd University,22.1,Hungary,Europe,23.3,6.1,10.7,22.6,11,71.3,5.2,61.9,61,60.60194862,https://www.topuniversities.com/sites/default/files/etvs-lornd-university_366_small.jpg
565,Nanjing University of Science and Technology,22,China,Asia,5.7,89.3,8.9,2.5,NA,38.7,NA,2.3,54,52.76973633,https://www.topuniversities.com/sites/default/files/nanjing-university-of-science-and-technology_592560cf2aeae70239af525a_small.jpg
566,University of Connecticut,22,United States,North America,14.4,29.8,18.2,8.1,19.4,88,27.4,37.6,53,89.24293274,https://www.topuniversities.com/sites/default/files/university-of-connecticut_140_small.jpg
567,Chiang Mai University,21.9,Thailand,Asia,34.8,4.2,17.3,17.1,4.2,62.5,4.8,56.1,61,40.42188741,https://www.topuniversities.com/sites/default/files/chiang-mai-university_118_small.jpg
568,Lebanese University,21.9,Lebanon,Asia,29,2.2,10.1,34.4,29.5,43.7,43.8,5.8,70,NA,https://www.topuniversities.com/sites/default/files/lebanese-university_592560cf2aeae70239af4eec_small.jpg
569,MGIMO University,21.9,Russia,Europe,9.8,1.3,100,25.4,41.3,5.7,11.3,1,54,56.86751092,https://www.topuniversities.com/sites/default/files/moscow-state-institute-of-international-relations-mgimo-university_2156_small.jpg
570,"University of Chemistry and Technology, Prague",21.8,Czechia,Europe,5.6,13.5,98.4,9.3,78.4,34.9,23.9,3.4,57,NA,https://www.topuniversities.com/sites/default/files/university-of-chemistry-and-technology-prague_592560cf2aeae70239af4f53_small.jpg
571,University of Szeged,21.8,Hungary,Europe,18.5,4.8,37,16.8,41.2,73.1,11.8,61.9,56,60.60194862,https://www.topuniversities.com/sites/default/files/university-of-szeged_592560cf2aeae70239af4cd1_small.jpg
572,University of the Punjab,21.8,Pakistan,Asia,15.6,11.6,4.5,52.2,1.3,62.2,3.2,4.3,52,9.699987771,https://www.topuniversities.com/sites/default/files/university-of-the-punjab_592560cf2aeae70239af4f07_small.jpg
573,Florida State University,21.6,United States,North America,25.6,24.8,7.2,18.1,4.2,71.9,10,26.8,58,89.24293274,https://www.topuniversities.com/sites/default/files/florida-state-university_211_small.jpg
574,Florida International University,21.5,United States,North America,15.3,12.6,11.8,22.5,12.9,86.7,20.3,81.2,60,89.24293274,https://www.topuniversities.com/sites/default/files/florida-international-university_592560cf2aeae70239af4b55_small.jpg
575,University of Debrecen,21.5,Hungary,Europe,17.9,3.9,34,13.9,70,76.7,10.6,39.5,56,60.60194862,https://www.topuniversities.com/sites/default/files/university-of-debrecen_592560cf2aeae70239af4fec_small.jpg
576,National Research Tomsk Polytechnic University,21.4,Russia,Europe,8.9,3.7,95.1,8.4,82.8,62.7,10.9,7.1,54,56.86751092,https://www.topuniversities.com/sites/default/files/221212044114am573109200x200%2BTPU-logo-sign-color-rgb-48x48.jpg
577,Sogang University,21.4,South Korea,Asia,17.5,5.1,56.7,45.5,19.6,13.8,7.1,17.7,47,71.9896875,https://www.topuniversities.com/sites/default/files/sogang-university_565_small.jpg
578,Southern Cross University ,21.4,Australia,Oceania,4.4,46.3,2.9,2.8,44.8,44.2,81.1,48.2,54,86.09321752,https://www.topuniversities.com/sites/default/files/southern-cross-university-_592560cf2aeae70239af4dcf_small.jpg
579,Universidad Adolfo Ibáñez,21.4,Chile,Latin America,20.6,4.6,4.7,57,3.9,31.5,36.9,2,54,56.87417626,https://www.topuniversities.com/sites/default/files/universidad-adolfo-ibez-_11_small.jpg
580,Jawaharlal Nehru University,21.3,India,Asia,31,28.9,10,14.4,1.3,47.4,NA,19.7,45,18.52273058,https://www.topuniversities.com/sites/default/files/jawaharlal-nehru-university_302_small.jpg
581,Jinan University (China),21.3,China,Asia,5.2,52.7,8.9,2.7,83.1,52.8,34,3.1,60,52.76973633,https://www.topuniversities.com/sites/default/files/jinan-university-china_592560cf2aeae70239af5298_small.jpg
582,Management and Science University,21.3,Malaysia,Asia,15.1,1.8,40.2,18.1,99.4,12.1,97.3,1.2,54,51.26186439,https://www.topuniversities.com/sites/default/files/management-and-science-university_22618_small.jpg
583,Politecnico di Bari,21.3,Italy,Europe,6.9,76.5,11.3,4.8,7.2,46.6,4.6,1.3,54,72.96288444,https://www.topuniversities.com/sites/default/files/politecnico-di-bari_592560cf2aeae70239af5002_small.jpg
584,Université Paul Sabatier Toulouse III,21.3,France,Europe,17.7,28,38.5,3.4,21.5,98.5,5.1,10.3,54,77.46249131,https://www.topuniversities.com/sites/default/files/universit-paul-sabatier-toulouse-iii_622_small.jpg
585,Institut Teknologi Sepuluh Nopember (ITS Surabaya),21.2,Indonesia,Asia,17.3,1.6,47.8,48.9,5.3,12,47.5,16.1,54,32.66336292,https://www.topuniversities.com/sites/default/files/institut-teknologi-sepuluh-nopember_592560cf2aeae70239af4e31_small.jpg
586,Singapore Management University,21.2,Singapore,Asia,12.3,18.8,10.2,14.2,58.9,20.8,100,26.3,54,91.35058971,https://www.topuniversities.com/sites/default/files/singapore-management-university_1177_small.jpg
587,Bond University,21.1,Australia,Oceania,4.3,28.8,47.8,4.6,86.6,26.5,70.4,1,54,86.09321752,https://www.topuniversities.com/sites/default/files/bond-university_715_small.jpg
588,Shoolini University of Biotechnology and Management Sciences,21.1,India,Asia,10,55.9,8.1,14.9,1.7,44.8,33.3,16.3,47,18.52273058,https://www.topuniversities.com/sites/default/files/shoolini-university-of-biotechnology-and-management-sciences_5b278febcb4de72fdd143864_small.jpg
589,The University of Georgia,21.1,United States,North America,20.6,24.4,9.8,18.6,4.5,83.7,6.7,30.7,54,89.24293274,https://www.topuniversities.com/sites/default/files/the-university-of-georgia_227_small.jpg
590,Universiti Teknologi MARA - UiTM,21.1,Malaysia,Asia,30.8,2.8,17.6,40.4,2.1,68.6,1.7,15.2,54,51.26186439,https://www.topuniversities.com/sites/default/files/universiti-teknologi-mara-uitm_732_small.jpg
591,University of Kwazulu-Natal,21.1,South Africa,Africa,12.6,24.5,5.5,10.2,1.6,93.7,24.5,37.9,54,39.20371445,https://www.topuniversities.com/sites/default/files/university-of-kwazulu-natal_433_small.jpg
592,"Ain Shams University in Cairo (ASU, Cairo)",21,Egypt,Africa,24,1.9,11.3,32.2,7.5,74.2,23.1,9.8,54,30.3810941,https://www.topuniversities.com/sites/default/files/ain-shams-university-_592560cf2aeae70239af4f38_small.jpg
593,Nottingham Trent University,21,United Kingdom,Europe,10.6,5.1,10.6,15.1,74,84.6,57.1,64.1,55,78.90086953,https://www.topuniversities.com/sites/default/files/nottingham-trent-university_592560cf2aeae70239af50e6_small.jpg
594,Universität Bremen,21,Germany,Europe,18.5,24.4,13.1,7.7,26.4,89.1,46.9,19.9,54,80.39040908,https://www.topuniversities.com/sites/default/files/universitt-bremen_67_small.jpg
595,ITMO University,20.9,Russia,Europe,10.5,5.4,95.5,13,36.2,65.3,20.3,1.2,34,56.86751092,https://www.topuniversities.com/sites/default/files/221006020816pm364524logo-ITMO-48x48.jpg
596,Thammasat University,20.8,Thailand,Asia,24.6,2.1,26.6,19.4,1.7,41,9.1,33.6,64,40.42188741,https://www.topuniversities.com/sites/default/files/thammasat-university_592560cf2aeae70239af4ce1_small.jpg
597,Universitas Padjadjaran (UNPAD),20.8,Indonesia,Asia,19,1.4,41.4,41.6,2.2,19.6,34.8,21.3,54,32.66336292,https://www.topuniversities.com/sites/default/files/universitas-padjadjaran_592560cf2aeae70239af4e3c_small.jpg
598,University of Iowa,20.8,United States,North America,18.4,19.1,41.7,8.7,3.7,75.6,15.5,20.8,55,89.24293274,https://www.topuniversities.com/sites/default/files/university-of-iowa_592560cf2aeae70239af4baa_small.jpg
599,University of Ljubljana,20.8,Slovenia,Europe,19.9,5.9,33.3,9.2,9.7,84.8,4.2,4.9,60,70.12611194,https://www.topuniversities.com/sites/default/files/university-of-ljubljana_351_small.jpg
600,University of Texas Dallas,20.8,United States,North America,13.1,43.3,3.4,15.9,47.4,60.4,9.7,9.5,54,89.24293274,https://www.topuniversities.com/sites/default/files/university-of-texas-dallas_592560cf2aeae70239af5355_small.jpg
601,Ca' Foscari University of Venice ,NA,Italy,Europe,19.6,12.7,5.7,15.8,8.9,64.6,42,74.5,54,72.96288444,https://www.topuniversities.com/sites/default/files/ca-foscari-university-of-venice_764_small.jpg
602,Illinois Institute of Technology,NA,United States,North America,12.8,35.9,14.1,11,97.3,18.9,19.2,1.6,37,89.24293274,https://www.topuniversities.com/sites/default/files/230109044608pm870090ILTECH-red-stacked-logo-48x48.jpg
603,King Khalid University,NA,Saudi Arabia,Asia,16.6,2.7,49.8,8.3,18,78.3,100,2.3,61,73.39639355,https://www.topuniversities.com/sites/default/files/240318014008pm464639KKU-New-Logo-48x48.jpg
604,"Kingston University, London",NA,United Kingdom,Europe,17.9,7.6,5.8,15.3,99.2,48.2,70.8,6.9,54,78.90086953,https://www.topuniversities.com/sites/default/files/kingston-university-london_592560cf2aeae70239af4bc2_small.jpg
605,Manchester Metropolitan University,NA,United Kingdom,Europe,11.8,10.1,8.1,12.6,37.7,91.7,42.9,79.6,58,78.90086953,https://www.topuniversities.com/sites/default/files/manchester-metropolitan-university_1628_small.jpg
606,National Chengchi University,NA,Taiwan,Asia,20.1,2.2,17.1,37.8,21.8,13.3,26.5,1.6,56,NA,https://www.topuniversities.com/sites/default/files/national-chengchi-university_436_small.jpg
607,Paris Lodron University of Salzburg,NA,Austria,Europe,9.7,6.8,20.8,2.9,93.7,55.5,96.1,39.5,54,81.85182904,https://www.topuniversities.com/sites/default/files/PLUS-Logo-3-48x48.jpg
608,Rensselaer Polytechnic Institute,NA,United States,North America,8,56.6,19.7,8.4,29.9,25,3.7,2.8,31,89.24293274,https://www.topuniversities.com/sites/default/files/rensselaer-polytechnic-institute_522_small.jpg
609,University of Crete,NA,Greece,Europe,13.9,58.7,2.4,12.7,3.5,57,2.3,1.8,63,63.28306397,https://www.topuniversities.com/sites/default/files/university-of-crete_147_small.jpg
610,University of Hohenheim,NA,Germany,Europe,8.6,47.5,12,6.1,25.9,76.9,25.2,19.2,57,80.39040908,https://www.topuniversities.com/sites/default/files/university-of-hohenheim_592560cf2aeae70239af4fcd_small.jpg
611,University of South Carolina,NA,United States,North America,13.8,28.3,9.7,9.4,3.2,71.9,30.4,63.1,54,89.24293274,https://www.topuniversities.com/sites/default/files/university-of-south-carolina_539_small.jpg
612,Saarland University,NA,Germany,Europe,10.2,7,92.2,5,35.9,71.4,4.6,1.2,54,80.39040908,https://www.topuniversities.com/sites/default/files/universitt-des-saarlandes_541_small.jpg
613,American University of the Middle East,NA,Kuwait,Asia,23.1,3.7,19.7,21.6,23,35.1,100,3.5,54,76.57570279,https://www.topuniversities.com/sites/default/files/american-university-of-the-middle-east_592560e39988f300e232137c_small.jpg
614,Asia Pacific University of Technology and Innovation (APU) Malaysia,NA,Malaysia,Asia,9.3,1.6,62.2,12.5,100,6.8,92,1.6,54,51.26186439,https://www.topuniversities.com/sites/default/files/asia-pacific-university-of-technology-and-innovation-apu_592560e79988f300e2322131_small.jpg
615,Brno University of Technology,NA,Czechia,Europe,13,7.3,25.7,29.3,67.3,78.8,14.8,3.3,28,NA,https://www.topuniversities.com/sites/default/files/brno-university-of-technology_592560cf2aeae70239af4aca_small.jpg
616,Christian-Albrechts-University zu Kiel,NA,Germany,Europe,17.7,15.6,44.7,10.8,8.4,90,NA,23.5,54,80.39040908,https://www.topuniversities.com/sites/default/files/christian-albrechts-university-zu-kiel_318_small.jpg
617,Eastern Mediterranean University,NA,Northern Cyprus,Europe,5.6,26.5,3.5,2.1,100,55.2,90.1,1.8,44,NA,https://www.topuniversities.com/sites/default/files/eastern-mediterranean-university_592560cf2aeae70239af5813_small.jpg
618,Pontifícia Universidade Católica do Rio de Janeiro,NA,Brazil,Latin America,32.4,7.5,10.8,16.2,1.6,44.5,12.6,5.4,54,46.15332796,https://www.topuniversities.com/sites/default/files/pontifcia-universidade-catlica-do-rio-de-janeiro_526_small.jpg
619,Taipei Medical University (TMU),NA,Taiwan,Asia,10.6,18.9,90.4,12.5,13.7,22.9,16,8.3,54,NA,https://www.topuniversities.com/sites/default/files/taipei-medical-university_2134_small.jpg
620,University of Klagenfurt,NA,Austria,Europe,5.7,11.3,51.3,3.7,87.8,35.6,96,1.6,67,81.85182904,https://www.topuniversities.com/sites/default/files/university-of-klagenfurt_592560cf2aeae70239af51e0_small.jpg
621,University of Minho,NA,Portugal,Europe,15.6,21,26.5,7.1,14.9,83.7,15.9,52.1,56,66.14337006,https://www.topuniversities.com/sites/default/files/university-of-minho_1476_small.jpg
622,Abo Akademi University,NA,Finland,Europe,7.5,43.2,18.9,4.8,22.6,64.5,45.9,6.4,54,81.21874008,https://www.topuniversities.com/sites/default/files/abo-akademi-university_592560cf2aeae70239af4f7a_small.jpg
623,American University in Dubai,NA,United Arab Emirates,Asia,10.3,1.9,25.2,16.9,100,4.5,100,1,57,80.86161721,https://www.topuniversities.com/sites/default/files/american-university-in-dubai_1200_small.jpg
624,Auezov South Kazakhstan University (SKU),NA,Kazakhstan,Asia,18.5,1,89.5,28.7,16.2,4,12.9,2.6,54,49.9990473,https://www.topuniversities.com/sites/default/files/auezov-south-kazakhstan-state-university-sksu_592560cf2aeae70239af52eb_small.jpg
625,Charles Darwin University ,NA,Australia,Oceania,5.7,44.2,4.5,4.2,55.2,41.3,25.4,63.7,54,86.09321752,https://www.topuniversities.com/sites/default/files/charles-darwin-university-_592560cf2aeae70239af4dcb_small.jpg
626,Istanbul University,NA,Türkiye,Asia,28.1,3.5,2.8,25.3,9.9,68.8,5.3,1.7,56,NA,https://www.topuniversities.com/sites/default/files/istanbul-university_592560cf2aeae70239af4bac_small.jpg
627,Renmin (People's) University of China,NA,China,Asia,19.5,7.9,16.3,37.3,4.9,24.3,6.6,9.7,54,52.76973633,https://www.topuniversities.com/sites/default/files/renmin-peoples-university-of-china_884_small.jpg
628,Tallinn University of Technology (TalTech),NA,Estonia,Europe,12.8,10.8,31.5,10.2,18.3,83.3,60,1.3,54,69.30933802,https://www.topuniversities.com/sites/default/files/tallinn-university-of-technology-taltech_592560cf2aeae70239af4cd3_small.jpg
629,Universidad de Alcalá,NA,Spain,Europe,9.7,5.6,60,5.8,44.9,77.1,10.6,59,54,70.02244012,https://www.topuniversities.com/sites/default/files/universidad-de-alcal_1511_small.jpg
630,Universidad de Palermo (UP),NA,Argentina,Latin America,10.2,1,92.8,9.8,91.9,2.6,35.6,NA,54,54.82965427,https://www.topuniversities.com/sites/default/files/universidad-de-palermo-up_592560cf2aeae70239af54de_small.jpg
631,University of South Florida,NA,United States,North America,12.9,36.3,8.8,9.5,22.2,86.7,19.9,15.9,54,89.24293274,https://www.topuniversities.com/sites/default/files/Webp.net-resizeimage-90-48x48.jpg
632,University of Tromsø The Arctic University of Norway,NA,Norway,Europe,11,8.9,68.3,4.3,7,78.4,69.3,10.5,54,96.49396244,https://www.topuniversities.com/sites/default/files/university-of-troms-the-arctic-university-of-norway_625_small.jpg
633,Zayed University,NA,United Arab Emirates,Asia,17.6,8.6,24.3,18.4,1.9,50.8,100,2.9,87,80.86161721,https://www.topuniversities.com/sites/default/files/zayed-university_592560cf2aeae70239af4f36_small.jpg
634,Ajou University ,NA,South Korea,Asia,13.7,17.9,68.9,15,24.2,18.8,9.3,23.7,54,71.9896875,https://www.topuniversities.com/sites/default/files/ajou-university_1034_small.jpg
635,Boston College,NA,United States,North America,21.3,16.6,21.2,16.2,18.8,50.8,12.5,7.1,55,89.24293274,https://www.topuniversities.com/sites/default/files/boston-college_723_small.jpg
636,Chang Gung University,NA,Taiwan,Asia,6.3,41.9,71.6,4.3,4.5,27.7,5.1,13.2,49,NA,https://www.topuniversities.com/sites/default/files/chang-gung-university_1187_small.jpg
637,"China University of Petroleum, Beijing",NA,China,Asia,3.4,79.7,8.6,1.7,2.8,24.1,1.7,1.5,54,52.76973633,https://www.topuniversities.com/sites/default/files/china-university-of-petroleum_592560cf2aeae70239af5258_small.jpg
638,Far Eastern Federal University,NA,Russia,Europe,12.8,1.7,96.7,5.5,63.1,41.7,10.8,1.1,59,56.86751092,https://www.topuniversities.com/sites/default/files/far-eastern-federal-university_592560cf2aeae70239af57c9_small.jpg
