Rank,Title,Overall,Country,Region,Academic Reputation,Citations per Faculty,Faculty Student Ratio,Employer Reputation,International Student Ratio,International Research Network,International Faculty Ratio,Sustainabilty,FemaleStudentRatio,GDPperCapita,ImageLink
303,Université Paris Cité,35.9,France,Europe,27.8,87,9.2,6.2,35.2,99.2,12,18.4,66,77.46249131,https://www.topuniversities.com/sites/default/files/230601025838am526615Logotype-UPCite-Enlighten-200px-48x48.jpg
304,Linköping University,35.8,Sweden,Europe,18.5,45.4,37.9,26.6,32.6,84.6,81.9,41,54,83.32357004,https://www.topuniversities.com/sites/default/files/linkping-university_348_small.jpg
305,Universidade Federal do Rio de Janeiro,35.8,Brazil,Latin America,61.9,7.8,13.7,23.3,1.5,79.7,7.6,59.6,54,46.15332796,https://www.topuniversities.com/sites/default/files/220127083943pm152751UFRJ-Vertical-Impresso-Positivo-ai-48x48.jpg
306,Aalborg University,35.7,Denmark,Europe,19.9,53.2,25.5,20.8,14.9,92.1,77.3,75.6,54,87.04624269,https://www.topuniversities.com/sites/default/files/aalborg-university_1262_small.jpg
307,"University of California, Irvine",35.5,United States,North America,37.5,40.7,17.3,22.3,58.7,84.1,43.9,36,53,89.24293274,https://www.topuniversities.com/sites/default/files/university-of-california-irvine_86_small.jpg
308,Airlangga University,35.3,Indonesia,Asia,37.1,1.5,57,79.1,6.7,40.3,58,16.3,54,32.66336292,https://www.topuniversities.com/sites/default/files/logo-UNAIR-200px-x-200px-01-48x48.jpeg
309,Goethe-University Frankfurt am Main,35.2,Germany,Europe,43.2,15.9,24.4,33.2,24.1,90.4,37.4,75,54,80.39040908,https://www.topuniversities.com/sites/default/files/universitt-frankfurt-am-main_214_small.jpg
310,Universität Innsbruck,35.2,Austria,Europe,20.3,9.3,73.1,7.8,100,71.5,100,61.6,54,81.85182904,https://www.topuniversities.com/sites/default/files/universitt-innsbruck_592560cf2aeae70239af4ba7_small.jpg
311,North Carolina State University,35.1,United States,North America,26.7,63.4,9.8,25.4,17,78.1,55,35.7,49,89.24293274,https://www.topuniversities.com/sites/default/files/north-carolina-state-university_592560cf2aeae70239af4c2a_small.jpg
312,Jagiellonian University,35,Poland,Europe,37.8,5.5,65.1,46.4,15.4,88.6,5.7,35.4,67,59.99969104,https://www.topuniversities.com/sites/default/files/jagiellonian-university_300_small.jpg
313,University of Johannesburg,35,South Africa,Africa,17.7,24.9,40.3,17.9,51.4,98,96.5,65.6,55,39.20371445,https://www.topuniversities.com/sites/default/files/university-of-johannesburg-_592560cf2aeae70239af4f46_small.jpg
314,Universität Stuttgart,34.9,Germany,Europe,23.1,55.2,6.8,33,46.8,70.4,36,65.3,54,80.39040908,https://www.topuniversities.com/sites/default/files/universitt-stuttgart_580_small.jpg
315,Quaid-i-Azam University,34.8,Pakistan,Asia,17.3,93.6,3.2,42.4,1.9,65,7,3.4,45,9.699987771,https://www.topuniversities.com/sites/default/files/quaid-i-azam-university_592560cf2aeae70239af4d41_small.jpg
316,RUDN University,34.7,Russia,Europe,24.4,2.1,92,48.7,92.2,89.7,8,24,59,56.86751092,https://www.topuniversities.com/sites/default/files/rudn-university_1503_small.jpg
317,Shandong University,34.7,China,Asia,16.6,88.2,16.7,35.5,3.1,64.1,8.2,19.7,54,52.76973633,https://www.topuniversities.com/sites/default/files/shandong-university_555_small.jpg
318,University of Notre Dame,34.7,United States,North America,25.8,29.2,60.8,25.2,18.4,70.1,22.3,68.9,47,89.24293274,https://www.topuniversities.com/sites/default/files/university-of-notre-dame_458_small.jpg
319,Simon Fraser University,34.6,Canada,North America,24,36.6,6.2,11.4,83.9,76.8,97,89.8,54,83.04588614,https://www.topuniversities.com/sites/default/files/simon-fraser-university_562_small.jpg
320,University of Colorado Boulder,34.4,United States,North America,36.1,34.9,38.3,17.5,4.9,86.3,32.2,62.8,45,89.24293274,https://www.topuniversities.com/sites/default/files/university-of-colorado-boulder_137_small.jpg
321,L.N. Gumilyov Eurasian National University (ENU),34.2,Kazakhstan,Asia,34.4,1.4,92.6,62,8.2,22.8,68.7,10.5,54,49.9990473,https://www.topuniversities.com/sites/default/files/240216043308am306054%D0%BB%D0%BE%D0%B3%D0%BE%D1%82%D0%B8%D0%BF-48x48.jpg
322,National Technical University of Athens,34.2,Greece,Europe,21.3,76,4.6,44.9,4.6,72.7,1.3,5,37,63.28306397,https://www.topuniversities.com/sites/default/files/national-technical-university-of-athens_592560cf2aeae70239af4aa3_small.jpg
323,Universidad Politécnica de Madrid (UPM),34.2,Spain,Europe,31.3,11.4,16.7,56.5,32.1,81.1,3.2,86.3,54,70.02244012,https://www.topuniversities.com/sites/default/files/politcnica-de-madrid_1507_small.jpg
324,University of Miami,34.1,United States,North America,19,39.3,50,29.5,16.9,81.6,66.7,27.9,54,89.24293274,
325,University of Southern Denmark (SDU),34.1,Denmark,Europe,20.2,49.3,22.3,15.9,24.1,81.1,85.5,73.2,54,87.04624269,https://www.topuniversities.com/sites/default/files/university-of-southern-denmark_592560cf2aeae70239af4c53_small.jpg
326,Daegu Gyeongbuk Institute of Science and Technology (DGIST),34,South Korea,Asia,10.5,99.9,84.1,11.8,3.3,12.3,6.6,3.1,36,71.9896875,https://www.topuniversities.com/sites/default/files/dgist_592560e49988f300e23218c9_small.jpg
327,Istanbul Technical University,34,Türkiye,Asia,27,17,9.7,67.2,19.8,76.1,8.3,70.3,42,NA,https://www.topuniversities.com/sites/default/files/istanbul-technical-university_296_small.jpg
328,Kyung Hee University,33.8,South Korea,Asia,23.2,15.1,82.1,37.1,53.4,54.5,14.3,80.5,56,71.9896875,https://www.topuniversities.com/sites/default/files/230330065433am364143%EB%8C%80%ED%95%99%ED%9C%98%EC%9E%A5-%ED%99%9C%EC%9A%A9%ED%98%95-A-48x48.jpg
329,Rutgers University–New Brunswick,33.8,United States,North America,36.2,12.8,46.3,28.1,28.2,78,18,95.4,54,89.24293274,https://www.topuniversities.com/sites/default/files/rutgers-university-new-brunswick_538_small.jpg
330,University of Delhi,33.8,India,Asia,38.1,25.9,4.3,35.3,1.5,75.1,1.3,70.6,48,18.52273058,https://www.topuniversities.com/sites/default/files/university-of-delhi_156_small.jpg
331,"Sun Yat-sen University, Guangzhou",33.7,China,Asia,31.8,49.5,46.4,28.8,3.6,77.4,2.2,15.9,54,52.76973633,https://www.topuniversities.com/sites/default/files/sun-yat-sen-university_888_small.jpg
332,American University of Sharjah,33.6,United Arab Emirates,Asia,20.9,23.9,19.1,38.6,100,48.1,100,16.5,54,80.86161721,https://www.topuniversities.com/sites/default/files/211216011743pm346028American-University-of-Sharjah-AUS-Stacked-200X200px-48x48.jpg
333,University of East Anglia (UEA),33.6,United Kingdom,Europe,17.2,58.7,15.2,7.2,32.2,87.9,66.8,91.4,54,78.90086953,https://www.topuniversities.com/sites/default/files/university-of-east-anglia-uea_637_small.jpg
334,Université Grenoble Alpes,33.5,France,Europe,44.7,41.7,7.9,14.3,35.1,94.9,20.2,21.5,53,77.46249131,https://www.topuniversities.com/sites/default/files/universit-grenoble-alpes_592560cf2aeae70239af5ab2_small.jpg
335,Indian Institute of Technology Roorkee (IITR),33.4,India,Asia,19.4,93.8,6.8,29,2,44.3,1.3,37.9,54,18.52273058,https://www.topuniversities.com/sites/default/files/indian-institute-of-technology-roorkee-iitr_287_small.jpg
336,Flinders University,33.3,Australia,Oceania,13.5,51.8,7.2,5.6,88.8,80.8,97.2,87.4,66,86.09321752,https://www.topuniversities.com/sites/default/files/230124111744pm518938Flinders-University-Logo-Stacked-RGB-Master-48x48.jpg
337,Lappeenranta-Lahti University of Technology LUT,33.3,Finland,Europe,6.4,97.6,9.5,9.4,28.5,55.6,56.8,55.8,34,81.21874008,https://www.topuniversities.com/sites/default/files/lappeenranta-university-of-technology_592560cf2aeae70239af4f7d_small.jpg
338,Sichuan University,33.3,China,Asia,20.4,98.5,10.3,12.3,4.9,71.3,7.1,11,54,52.76973633,https://www.topuniversities.com/sites/default/files/sichuan-university_885_small.jpg
339,University of the Philippines,33.3,Philippines,Asia,36.3,1.9,31.1,65.3,1.1,60.9,1.6,67.7,59,26.75310693,https://www.topuniversities.com/sites/default/files/university-of-the-philippines_498_small.jpg
340,University of Saskatchewan,33.2,Canada,North America,11.1,57,18.2,5.3,49.5,82.3,77.3,90.7,56,83.04588614,https://www.topuniversities.com/sites/default/files/university-of-saskatchewan_1755_small.jpg
341,University of South Australia,33.2,Australia,Oceania,21.3,31.9,24.9,12.7,50.9,85.5,99.8,83.6,60,86.09321752,https://www.topuniversities.com/sites/default/files/university-of-south-australia_566_small.jpg
342,Brunel University London,33,United Kingdom,Europe,11.1,46.5,7.1,13.3,99.8,77.9,99.1,71.2,47,78.90086953,https://www.topuniversities.com/sites/default/files/241011103940am405152BD-691-QS-Logo-for-brand-profile-200x200px-HP-v1-48x48.jpg
343,Sharif University of Technology,33,Iran,Asia,11.5,99.9,5.1,33.6,1.2,61.4,2.9,1.3,26,30.89332457,https://www.topuniversities.com/sites/default/files/sharif-university-of-technology_592560cf2aeae70239af4d42_small.jpg
344,Indian Institute of Technology Guwahati (IITG),32.9,India,Asia,18.8,97.6,6.4,32,1.2,51.2,2.3,2.2,54,18.52273058,https://www.topuniversities.com/sites/default/files/indian-institute-of-technology-guwahati-iitg_283_small.jpg
345,Tufts University,32.9,United States,North America,16.9,45.7,53.5,7.7,38.1,60.2,23.5,81,57,89.24293274,https://www.topuniversities.com/sites/default/files/tufts-university_630_small.jpg
346,University of Oulu,32.9,Finland,Europe,15.1,59.4,25.3,13.5,8.6,89.4,65.3,68.6,55,81.21874008,https://www.topuniversities.com/sites/default/files/university-of-oulu_476_small.jpg
347,Tilburg University,32.8,Netherlands,Europe,14.7,55.1,10.5,32.5,60.6,56.8,98.4,15.2,51,83.13355324,https://www.topuniversities.com/sites/default/files/tilburg-university_592560cf2aeae70239af4ce5_small.jpg
